word,weight
sarin,27020
naris,27020
ranis,27020
airns,27020
rains,27020
arnis,27020
neato,26980
atone,26980
oaten,26980
ousia,26967
rejas,26958
rajes,26958
score,26946
ceros,26946
cores,26946
corse,26946
pareo,26945
opera,26945
porae,26945
raxes,26942
morae,26923
amore,26923
feals,26922
alefs,26922
false,26922
fleas,26922
leafs,26922
fales,26922
solan,26917
salon,26917
loans,26917
sloan,26917
daces,26883
cased,26883
ecads,26883
cades,26883
fates,26849
fetas,26849
festa,26849
feats,26849
feast,26849
santo,26844
hause,26822
weals,26809
sweal,26809
proas,26809
alews,26809
aspro,26809
praos,26809
wales,26809
sapor,26809
sopra,26809
rapso,26809
swale,26809
psora,26809
poise,26803
sieur,26796
roams,26787
moras,26787
moars,26787
seiza,26786
artel,26784
taler,26784
later,26784
alert,26784
ratel,26784
alter,26784
adios,26775
dosai,26775
aidos,26775
ocrea,26755
mapes,26752
peasy,26738
tawse,26736
sweat,26736
twaes,26736
wetas,26736
waste,26736
samey,26716
ysame,26716
seamy,26716
auges,26693
shoer,26693
rohes,26693
shero,26693
louse,26693
heros,26693
eusol,26693
hoers,26693
horse,26693
hoser,26693
agues,26693
shore,26693
usage,26693
ousel,26693
abuse,26678
beaus,26678
terns,26673
rents,26673
stern,26673
nerts,26673
slart,26648
stile,26642
istle,26642
islet,26642
lites,26642
steil,26642
teils,26642
tiles,26642
heads,26630
shade,26630
hades,26630
ashed,26630
sadhe,26630
deash,26630
ajies,26625
touse,26620
fanes,26620
oscar,26619
orcas,26619
arcos,26619
acros,26619
rases,26616
rares,26616
raser,26616
saser,26616
easer,26616
rasse,26616
areas,26616
rears,26616
arses,26616
serra,26616
erase,26616
sears,26616
saree,26616
seare,26616
cosie,26613
aixes,26609
uraei,26605
aurei,26605
sired,26604
sider,26604
rides,26604
dries,26604
resid,26604
scape,26584
capes,26584
paces,26584
space,26584
ukase,26582
regos,26564
goers,26564
ergos,26564
gorse,26564
soger,26564
esrog,26564
gores,26564
ogres,26564
maces,26562
cames,26562
mesca,26562
acmes,26562
emacs,26562
renal,26555
learn,26555
neral,26555
sober,26549
brose,26549
boers,26549
bores,26549
robes,26549
sewan,26507
weans,26507
wanes,26507
egads,26501
gades,26501
soled,26501
degas,26501
delos,26501
solde,26501
losed,26501
lodes,26501
doles,26501
based,26486
beads,26486
sabed,26486
levas,26483
salve,26483
avels,26483
valse,26483
selva,26483
slave,26483
veals,26483
laves,26483
vales,26483
earnt,26482
antre,26482
psoai,26476
auris,26469
moais,26454
keros,26453
kores,26453
rokes,26453
telia,26451
tosed,26428
dotes,26428
doest,26428
larns,26419
snarl,26419
nelis,26413
lines,26413
elsin,26413
redia,26413
aired,26413
lenis,26413
liens,26413
aider,26413
irade,26413
deair,26413
silen,26413
stave,26410
vesta,26410
ouens,26391
asked,26390
aksed,26390
kades,26390
haros,26366
aulos,26366
horas,26366
hoars,26366
rosha,26366
hoise,26360
abore,26358
trans,26346
tarns,26346
rants,26346
starn,26346
senti,26340
tines,26340
stein,26340
neist,26340
sient,26340
inset,26340
nites,26340
teins,26340
shape,26331
ephas,26331
phase,26331
heaps,26331
litas,26315
alist,26315
tails,26315
aloed,26310
shame,26309
hames,26309
haems,26309
peris,26305
spier,26305
piers,26305
pries,26305
epris,26305
spire,26305
speir,26305
prise,26305
ripes,26305
yeahs,26295
autos,26293
socia,26286
emirs,26283
mires,26283
meris,26283
rimes,26283
riems,26283
miser,26283
daris,26277
raids,26277
riads,26277
roake,26262
oaker,26262
sargo,26237
agros,26237
goras,26237
todea,26237
boras,26222
liane,26222
aline,26222
anile,26222
nelia,26222
elain,26222
alien,26222
